FREQ,TIME_FORMAT,TIME_PERIOD,STK_FLOW,UNIT,PARTNER,GEO,OBS_STATUS,OBS_VALUE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,STK_FLOW_DESC,UNIT_DESC,PARTNER_DESC,GEO_DESC
A,P1Y,2007,EXP,PC_TOT,WORLD,RO,,3.5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Romania
A,P1Y,2007,EXP,PC_TOT,WORLD,SE,,13.3,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Sweden
A,P1Y,2007,EXP,PC_TOT,WORLD,SI,,4.6,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Slovenia
A,P1Y,2007,EXP,PC_TOT,WORLD,SK,,5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Slovakia
A,P1Y,2007,EXP,PC_TOT,WORLD,UK,,16.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,United Kingdom
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,AT,,4812,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Austria
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,BE,,6604,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Belgium
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,CY,,29,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Cyprus
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,CZ,,2681,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Czechia
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,DE,,50876,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Germany
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,DK,,3912,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Denmark
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,EE,,116,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Estonia
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,EL,,449,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra-EU28 (current composition),Greece
A,P1Y,2008,EXP,MIO_EUR,EXT_EU28,ES,,3181,Annual,Annual,Year 2008,No data,Exports,Million euro,Extra EU-28,Spain
